order_id,order_date,customer_email,region,plan,amount_eur,seats,churned,notes,source_system
ORD-1000,2024-01-29,user0@example.com, AMER,Pro,,5,false,,salesforce
ORD-1001,2023-11-05,user1@example.com, AMER,pro,434.61,5,true,,salesforce
ORD-1002,17.02.2023,user2@example.com,Unknown,Pro,806.36,10,true,,salesforce
ORD-1003,10.04.2023,user3@example.com,APAC,free,787.01,5,false,,salesforce
ORD-1004,2023-11-13,user4@example.com,Unknown,free,579.0,1,true,̩lev̩ priority,salesforce
ORD-1005,2024-05-05,user5@example.com, AMER,N/A,611.65,3,false,,salesforce
ORD-1006,11/01/2024,user6@example.com,Unknown,pro,,-1,false,̩lev̩ priority,salesforce
ORD-1007,2024-06-02,user7@example.com,Unknown,Pro,242.3,5,true,,salesforce
ORD-1008,06/05/2024,user8@example.com,AMER,enterprise,721.87,5,true,,salesforce
ORD-1009,2023-03-26,user9@example.com,APAC,pro,9999999.0,10,false,̩lev̩ priority,salesforce
ORD-1010,2024-10-03,user10@example.com,Unknown,N/A,426.49,5,false,,salesforce
ORD-1011,07/09/2024,,emea,N/A,250.35,3,true,,salesforce
ORD-1012,02.10.2023,user12@example.com,EMEA,free,253.5,5,false,follow up,salesforce
ORD-1013,2024-01-17,user13@example.com, AMER,enterprise,759.51,10,true,̩lev̩ priority,salesforce
ORD-1014,2024-01-03,user14@example.com, AMER,N/A,580.81,3,true,̩lev̩ priority,salesforce
ORD-1015,2023-09-19,user15@example.com,EMEA,pro,2163.57,5,false,,salesforce
ORD-1016,2024-11-12,user16@example.com,emea,pro,127.74,2,false,,salesforce
ORD-1017,10.07.2024,user17@example.com,Unknown,Pro,221.43,2,false,,salesforce
ORD-1018,03/30/2023,user18@example.com,EMEA,Pro,331.29,5,true,̩lev̩ priority,salesforce
ORD-1019,11/03/2024,,Unknown,pro,562.43,2,false,,salesforce
ORD-1020,2023-10-06,user20@example.com,AMER,Pro,,-1,false,follow up,salesforce
ORD-1021,21.10.2024,user21@example.com,EMEA,free,107.35,10,true,,salesforce
ORD-1022,2023-06-26,user22@example.com, AMER,free,353.41,1,true,,salesforce
ORD-1023,2023-09-15,user23@example.com, AMER,N/A,377.09,-1,false,follow up,salesforce
ORD-1024,05.08.2024,user24@example.com,APAC,N/A,950.46,2,false,,salesforce
ORD-1025,2024-05-03,user25@example.com,APAC,pro,325.07,2,false,,salesforce
ORD-1026,2023-11-18,user26@example.com,emea,free,1132.35,5,false,follow up,salesforce
ORD-1027,2023-09-20,user27@example.com,EMEA,free,9999999.0,10,false,̩lev̩ priority,salesforce
ORD-1028,2023-03-07,user28@example.com,APAC,free,681.87,10,false,,salesforce
ORD-1029,2023-04-02,user29@example.com,EMEA,N/A,361.23,1,false,,salesforce
ORD-1030,2024-06-10,user30@example.com, AMER,Pro,246.18,2,false,,salesforce
ORD-1031,2023-09-05,user31@example.com,EMEA,enterprise,,1,true,̩lev̩ priority,salesforce
ORD-1032,2024-07-02,user32@example.com, AMER,enterprise,872.03,2,false,,salesforce
ORD-1033,05/24/2023,user33@example.com,AMER,N/A,1690.86,3,true,,salesforce
ORD-1034,02/16/2023,user34@example.com, AMER,enterprise,9999999.0,3,true,,salesforce
ORD-1035,2023-09-07,user35@example.com,EMEA,pro,315.23,1,true,follow up,salesforce
ORD-1036,2024-10-24,user36@example.com,emea,N/A,327.75,3,false,,salesforce
ORD-1037,19.12.2023,user37@example.com,Unknown,N/A,495.5,10,true,̩lev̩ priority,salesforce
ORD-1038,2023-10-25,user38@example.com,Unknown,N/A,325.85,5,false,,salesforce
ORD-1039,2024-06-13,,Unknown,free,800.73,1,false,,salesforce
ORD-1040,2023-09-30,user40@example.com, AMER,Pro,,2,false,,salesforce
ORD-1041,09.01.2024,user41@example.com,Unknown,Pro,443.27,3,false,follow up,salesforce
ORD-1042,06/23/2024,user42@example.com,EMEA,N/A,444.9,5,false,follow up,salesforce
ORD-1043,2023-10-04,user43@example.com,APAC,pro,639.14,2,false,follow up,salesforce
ORD-1044,2024-04-10,user44@example.com,EMEA,enterprise,,3,false,,salesforce
